"","year","mean"
"1","2007",4770.58333333333
"2","2008",4860.83333333333
"3","2009",4802.58333333333
"4","2010",4973.08333333333
"5","2011",5196.08333333333
"6","2012",5268.58333333333
"7","2013",5340.41666666667
"8","2014",5535.41666666667
"9","2015",5632.91666666667
"10","2016",5789.83333333333
"11","2017",6038.58333333333
"12","2018",6247.28571428571
